imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt1242545,Looking for Eric,2009,,116 min,"Comedy, Drama, Fantasy",7.1,"Eric, a football fanatic postman whose life is descending into crisis, receives some life coaching from the famously philosophical Eric Cantona.",Ken Loach,/name/nm0516360/,"Steve Evets, 
Eric Cantona, 
Stephanie Bishop, 
Gerard Kearns","/name/nm0263740/,/name/nm0134642/,/name/nm2288625/,/name/nm1542551/",17432.0,55804.0,1
tt2330546,Les reines du ring,2013,,97 min,"Comedy, Sport",5.6,"In a desperate attempt to reconnect with her estranged son who is a passionate WWE fan, Rose grabs his attention by joining a rigorous training program to learn to wrestle like a legitimate...                See full summary »",Jean-Marc Rudnicki,/name/nm2277061/,"Marilou Berry, 
Nathalie Baye, 
André Dussollier, 
Audrey Fleurot","/name/nm0077622/,/name/nm0000882/,/name/nm0244707/,/name/nm1109153/",628.0,,3
tt10782876,Swimming for Gold,2020,,91 min,"Family, Sport",5.5,A US women’s swim team Olympic hopeful suffers an injury that forces her to put aside her dreams and help the Australian men’s swim team get competition ready.,Hayley MacFarlane,/name/nm3044084/,"Peyton List, 
Lauren Esposito, 
Daniel Needs, 
Candice Hill","/name/nm2572554/,/name/nm7110007/,/name/nm5911628/,/name/nm3845743/",552.0,,1
tt2201251,The Hot Flashes,2013,R,99 min,"Comedy, Sport",5.1,A group of middle aged women play basketball and prove a point.,Susan Seidelman,/name/nm0782384/,"Brooke Shields, 
Wanda Sykes, 
Daryl Hannah, 
Camryn Manheim","/name/nm0000222/,/name/nm0843100/,/name/nm0000435/,/name/nm0005179/",2061.0,,3
tt6061074,First Match,2018,,102 min,"Drama, Sport",6.4,"Hardened by years in foster care, a teenage girl from Brooklyn's Brownsville neighborhood decides that joining the boys' wrestling team is the only way back to her estranged father.",Olivia Newman,/name/nm3229507/,"Elvire Emanuelle, 
Yahya Abdul-Mateen II, 
Colman Domingo, 
Jharrel Jerome","/name/nm4235684/,/name/nm5584344/,/name/nm0231458/,/name/nm7851611/",2382.0,,3
tt6918220,Les Crevettes Pailletées,2019,,103 min,"Comedy, Drama, Sport",6.5,"Matthias Le Goff, an Olympic champion, makes a homophobic statement on TV. His punishment: coach the Shiny Shrimps, an amateur gay water-polo team. They have only one thing in mind: to qualify for the Gay Games in Croatia.","Maxime Govare, 
Cédric Le Gallo",/name/nm4355349/,"Nicolas Gob, 
Alban Lenoir, 
Michaël Abiteboul, 
David Baïot","/name/nm9009942/,/name/nm1307409/,/name/nm1839955/,/name/nm1044641/,/name/nm3530343/",2776.0,,0
tt6522668,Diamantino,2018,,96 min,"Comedy, Drama, Fantasy",6.3,"A fallen soccer superstar vows to adopt a refugee child, while becoming the naive unwitting centerpiece in in a bizarre plot to Make Portugal Great Again.","Gabriel Abrantes, 
Daniel Schmidt",/name/nm4085019/,"Carloto Cotta, 
Cleo Tavares, 
Anabela Moreira, 
Margarida Moreira","/name/nm4116978/,/name/nm1929018/,/name/nm8148648/,/name/nm1335025/,/name/nm1923623/",2979.0,70088.0,3
tt2328503,Ko-ri-a,2012,,127 min,"Drama, Sport",7.2,"""As One"" is the cinematic retelling of the first ever post-war Unified Korea sports team, hastily formed to participate in the 41st World Table Tennis Championships in 1991. Following the ...                See full summary »",Hyun-Sung Moon,/name/nm4975337/,"Ha Ji-Won, 
Bae Doona, 
Yeri Han, 
Yoon-young Choi","/name/nm0351710/,/name/nm0046277/,/name/nm3680658/,/name/nm4274963/",1244.0,,3
tt1827358,Apflickorna,2011,,84 min,"Drama, Sport",5.5,Two adolescent girls on an equine acrobatics team form an intimate friendship that becomes threatened by their competitive nature.,Lisa Aschan,/name/nm2132286/,"Mathilda Paradeiser, 
Linda Molin, 
Isabella Lindquist, 
Sergej Merkusjev","/name/nm4288659/,/name/nm4288209/,/name/nm4288407/,/name/nm4288737/",2367.0,,3
tt1592876,Score: A Hockey Musical,2010,,93 min,"Comedy, Family, Musical",4.5,A teenage hockey player becomes a national sensation.,Michael McGowan,/name/nm1313340/,"John McDermott, 
Noah Reid, 
Hawksley Workman, 
Dave Bidini","/name/nm0567530/,/name/nm0717383/,/name/nm1488858/,/name/nm1848474/",708.0,,2
tt2585078,Summer League,2013,,95 min,"Comedy, Drama, Sport",5.5,"Life, death, and the healing power of beer league softball.",Phillip Lybrand,/name/nm1954634/,"Danielle Evon Ploeger, 
Kelsey Thomas, 
Gabriel Peña, 
Timothy Bowman","/name/nm3172728/,/name/nm5443003/,/name/nm5082528/,/name/nm3546112/",414.0,,3
