imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt1229822,Jane Eyre,2011.0,PG-13,120 min,"Drama, Romance",7.3,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,Cary Joji Fukunaga,/name/nm1560977/,"Mia Wasikowska, 
Michael Fassbender, 
Jamie Bell, 
Su Elliot","/name/nm1985859/,/name/nm1055413/,/name/nm0068260/,/name/nm0254332/",89942.0,11242660.0,3
tt6587640,Trolls World Tour,2020.0,PG,91 min,"Animation, Adventure, Comedy",6.1,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls.","Walt Dohrn, 
David P. Smith",/name/nm0230666/,"Anna Kendrick, 
Justin Timberlake, 
Rachel Bloom, 
James Corden","/name/nm1019583/,/name/nm0447695/,/name/nm0005493/,/name/nm3417385/,/name/nm0179479/",24609.0,,3
tt1284575,Bad Teacher,2011.0,R,92 min,"Comedy, Romance",5.6,"A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her.",Jake Kasdan,/name/nm0440458/,"Cameron Diaz, 
Jason Segel, 
Justin Timberlake, 
Lucy Punch","/name/nm0000139/,/name/nm0781981/,/name/nm0005493/,/name/nm0700577/",206011.0,100292856.0,3
tt1135503,Julie & Julia,2009.0,PG-13,123 min,"Biography, Drama, Romance",7.0,Julia Child's story of her start in the cooking profession is intertwined with blogger Julie Powell's 2002 challenge to cook all the recipes in Child's first book.,Nora Ephron,/name/nm0001188/,"Amy Adams, 
Meryl Streep, 
Chris Messina, 
Stanley Tucci","/name/nm0010736/,/name/nm0000658/,/name/nm0582149/,/name/nm0001804/",122606.0,94125426.0,3
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,2011.0,PG-13,117 min,"Adventure, Drama, Fantasy",4.9,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Bill Condon,/name/nm0174374/,"Kristen Stewart, 
Robert Pattinson, 
Taylor Lautner, 
Gil Birmingham","/name/nm0829576/,/name/nm1500155/,/name/nm1210124/,/name/nm0083655/",244461.0,281287133.0,3
tt2726560,The Longest Ride,2015.0,PG-13,123 min,"Comedy, Drama, Romance",7.0,"The lives of a young couple intertwine with a much older man, as he reflects back on a past love.",George Tillman Jr.,/name/nm0863387/,"Scott Eastwood, 
Britt Robertson, 
Alan Alda, 
Jack Huston","/name/nm2207222/,/name/nm1429380/,/name/nm0000257/,/name/nm1658935/",84906.0,37446117.0,3
tt6265828,A Ghost Story,2017.0,R,92 min,"Drama, Fantasy, Romance",6.8,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",David Lowery,/name/nm1108007/,"Casey Affleck, 
Rooney Mara, 
McColm Cephas Jr., 
Kenneisha Thompson","/name/nm0000729/,/name/nm1913734/,/name/nm8141375/,/name/nm5652167/",74456.0,1596371.0,1
tt2381111,Brooklyn,2015.0,PG-13,117 min,"Drama, Romance",7.5,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",John Crowley,/name/nm1259871/,"Saoirse Ronan, 
Emory Cohen, 
Domhnall Gleeson, 
Jim Broadbent","/name/nm1519680/,/name/nm1710309/,/name/nm1727304/,/name/nm0000980/",144654.0,38322743.0,3
tt1538403,The Mortal Instruments: City of Bones,2013.0,PG-13,130 min,"Action, Adventure, Fantasy",5.8,"When her mother disappears, Clary Fray learns that she descends from a line of warriors who protect our world from demons. She joins forces with others like her and heads into a dangerous alternate New York called the Shadow World.",Harald Zwart,/name/nm0958969/,"Lily Collins, 
Jamie Campbell Bower, 
Robert Sheehan, 
Jemima West","/name/nm2934314/,/name/nm2570429/,/name/nm1588066/,/name/nm0922136/",135885.0,31165421.0,3
tt7983894,Ammonite,2020.0,R,120 min,"Biography, Drama, History",6.5,"1840s England, acclaimed but overlooked fossil hunter Mary Anning and a young woman sent to convalesce by the sea develop an intense relationship, altering both of their lives forever.",Francis Lee,/name/nm0497274/,"Kate Winslet, 
Saoirse Ronan, 
Gemma Jones, 
James McArdle","/name/nm0000701/,/name/nm1519680/,/name/nm0428121/,/name/nm4574630/",19690.0,,3
